year,month,day,hour,minute,pm25,temperature,humidity
2023,10,18,6,0,3.2888888888888888,23.501407407407378,35.05985185185184
2023,10,18,6,30,3.356060606060606,23.370454545454564,35.026136363636354
2023,10,18,7,0,4.643939393939394,23.29053030303032,35.28696969696972
2023,10,18,7,30,5.962962962962963,23.325629629629628,35.38933333333333
2023,10,18,8,0,6.4393939393939394,23.361590909090904,35.496515151515155
2023,10,18,8,30,6.590909090909091,23.545151515151492,35.960151515151466
2023,10,18,9,0,6.204545454545454,23.877045454545453,35.79234848484845
2023,10,18,9,30,6.533333333333333,24.200740740740756,36.70644444444443
2023,10,18,10,0,8.840909090909092,24.564469696969653,37.641590909090944
2023,10,18,10,30,8.287878787878787,24.808560606060635,37.75628787878788
2023,10,18,11,0,8.22962962962963,24.7036296296296,38.626962962962956
2023,10,18,11,30,6.537878787878788,24.72219696969696,39.16666666666667
2023,10,18,12,0,5.257575757575758,24.751212121212134,38.81825757575757
2023,10,18,12,30,3.7037037037037037,24.64913580246911,38.580000000000005
2023,10,18,13,0,11.473684210526315,23.98157894736842,39.77508771929824
2023,10,18,13,30,10.068181818181818,28.205454545454554,32.72462121212121
2023,10,18,14,0,9.613636363636363,31.41136363636363,27.798939393939406
2023,10,18,14,30,10.407407407407407,35.738296296296305,23.02777777777778
2023,10,18,15,0,10.931818181818182,37.10416666666664,21.32545454545455
2023,10,18,15,30,10.136363636363637,37.65962121212123,21.04704545454545
2023,10,18,16,0,10.555555555555555,38.084962962963004,20.9097037037037
2023,10,18,16,30,11.257575757575758,37.78007575757578,21.02704545454546
2023,10,18,17,0,12.128787878787879,36.338257575757574,21.445075757575758
2023,10,18,17,30,12.477272727272727,33.789621212121205,23.846742424242418
2023,10,18,18,0,12.637037037037038,31.525481481481478,26.684296296296296
2023,10,18,18,30,13.151515151515152,29.740075757575756,29.628712121212118
2023,10,18,19,0,13.727272727272727,28.672045454545458,31.596287878787887
2023,10,18,19,30,13.555555555555555,27.972518518518534,32.87711111111113
2023,10,18,20,0,14.393939393939394,27.22537878787881,33.96242424242424
2023,10,18,20,30,16.174242424242426,26.40257575757581,35.229242424242436
2023,10,18,21,0,17.40740740740741,26.05911111111109,35.658074074074065
2023,10,18,21,30,18.068181818181817,25.698106060606058,36.14204545454549
2023,10,18,22,0,19.515151515151516,25.172121212121205,37.16613636363637
2023,10,18,22,30,19.757575757575758,24.533939393939374,37.94803030303028
2023,10,18,23,0,20.125925925925927,23.820296296296352,38.55185185185184
2023,10,18,23,30,20.84090909090909,23.846590909090917,38.782878787878765
2023,10,19,0,0,21.803030303030305,23.686363636363645,39.06500000000002
2023,10,19,0,30,21.192592592592593,23.04925925925925,40.13155555555556
2023,10,19,1,0,20.0,22.55287878787879,41.17143939393939
2023,10,19,1,30,20.363636363636363,21.66787878787876,42.53553030303028
2023,10,19,2,0,20.856060606060606,21.513409090909075,42.548257575757575
2023,10,19,2,30,21.955555555555556,21.818296296296275,42.110370370370376
2023,10,19,3,0,23.265151515151516,22.110681818181767,41.85280303030303
2023,10,19,3,30,22.46212121212121,21.771363636363635,42.557575757575755
2023,10,19,4,0,22.651851851851852,21.005333333333354,43.424296296296276
2023,10,19,4,30,23.901515151515152,20.87477272727273,43.81719696969696
2023,10,19,5,0,26.477272727272727,19.841515151515146,44.25946969696968
2023,10,19,5,30,28.34090909090909,19.467727272727263,44.95871212121214
2023,10,19,6,0,28.874074074074073,19.470814814814826,45.05140740740743
2023,10,19,6,30,28.15909090909091,19.633257575757582,44.579318181818195
2023,10,19,7,0,27.196969696969695,19.50924242424241,43.879696969696965
2023,10,19,7,30,26.48148148148148,19.315111111111104,43.989851851851846
2023,10,19,8,0,27.613636363636363,19.752045454545474,44.26159090909093
2023,10,19,8,30,24.25,20.662727272727256,42.18204545454545
2023,10,19,9,0,21.666666666666668,21.85629629629628,39.86533333333332
