year,month,day,hour,minute,sensor_index,pm2.5_alt,humidity,temperature
2023,10,20,1,30,155565,26.053333333333335,36.0,79.0
2023,10,20,2,0,155565,25.333333333333332,36.0,78.8
2023,10,20,2,30,155565,24.68,37.0,78.0
2023,10,20,3,0,155565,25.50666666666666,35.93333333333333,79.33333333333333
2023,10,20,3,30,155565,23.473333333333333,35.0,80.0
2023,10,20,4,0,155565,24.4,36.266666666666666,78.86666666666666
2023,10,20,4,30,155565,25.09333333333333,36.733333333333334,78.0
2023,10,20,5,0,155565,25.080000000000002,38.53333333333333,77.6
2023,10,20,5,30,155565,24.346666666666668,38.2,77.4
2023,10,20,6,0,155565,20.386666666666667,36.13333333333333,78.8
2023,10,20,6,30,155565,20.413333333333334,35.4,79.0
2023,10,20,7,0,155565,20.473333333333336,36.0,78.33333333333333
2023,10,20,7,30,155565,20.086666666666662,36.86666666666667,78.2
2023,10,20,8,0,155565,21.89333333333333,39.2,78.0
2023,10,20,8,30,155565,23.426666666666666,39.4,78.66666666666667
2023,10,20,9,0,155565,22.086666666666666,37.86666666666667,81.26666666666667
2023,10,20,9,30,155565,18.279999999999998,32.86666666666667,84.0
2023,10,20,10,0,155565,15.433333333333332,30.066666666666666,86.2
2023,10,20,10,30,155565,16.259999999999998,26.933333333333334,93.66666666666667
2023,10,20,11,0,155565,16.2,23.133333333333333,99.2
2023,10,20,11,30,155565,17.866666666666667,23.933333333333334,97.93333333333334
2023,10,20,12,0,155565,22.633333333333333,25.6,94.53333333333333
2023,10,20,12,30,155565,23.313333333333333,24.466666666666665,95.0
2023,10,20,13,0,155565,17.73333333333333,23.866666666666667,96.26666666666667
2023,10,20,13,30,155565,17.40666666666667,23.266666666666666,97.93333333333334
2023,10,20,14,0,155565,15.053333333333333,19.266666666666666,104.86666666666666
2023,10,20,14,30,155565,13.08,14.333333333333334,114.66666666666667
2023,10,20,15,0,155565,12.546666666666665,12.866666666666667,117.8
2023,10,20,15,30,155565,12.746666666666668,12.466666666666667,118.06666666666666
2023,10,20,16,0,155565,11.573333333333334,11.533333333333333,118.66666666666667
2023,10,20,16,30,155565,11.093333333333332,11.933333333333334,116.66666666666667
2023,10,20,17,0,155565,9.68,12.733333333333333,111.4
2023,10,20,17,30,155565,11.306666666666668,15.8,106.93333333333334
2023,10,20,18,0,155565,10.413333333333332,18.4,100.66666666666667
2023,10,20,18,30,155565,14.486666666666666,25.133333333333333,95.33333333333333
2023,10,20,19,0,155565,16.586666666666666,28.466666666666665,92.6
2023,10,20,19,30,155565,17.186666666666667,31.533333333333335,89.73333333333333
2023,10,20,20,0,155565,17.71333333333333,34.2,87.26666666666667
2023,10,20,20,30,155565,17.013333333333332,36.53333333333333,85.4
2023,10,20,21,0,155565,15.526666666666669,37.733333333333334,83.93333333333334
2023,10,20,21,30,155565,11.759999999999998,38.733333333333334,82.6
2023,10,20,22,0,155565,8.680000000000001,39.4,81.26666666666667
2023,10,20,22,30,155565,7.293333333333334,40.2,79.6
2023,10,20,23,0,155565,6.52,41.06666666666667,78.53333333333333
2023,10,20,23,30,155565,5.866666666666666,41.8,77.6
2023,10,21,0,0,155565,6.953333333333335,44.13333333333333,75.86666666666666
2023,10,21,0,30,155565,6.006666666666665,45.8,74.46666666666667
2023,10,21,1,0,155565,5.466666666666667,46.86666666666667,73.26666666666667
2023,10,21,1,30,155565,5.046666666666667,47.733333333333334,73.0
2023,10,21,2,0,155565,4.346666666666667,48.46666666666667,72.06666666666666
